File Name,Positive Prompt,Negative Prompt,Aspect Ratio,Width (pixels),Height (pixels),Model Configurations
00000-2439154668.png,"professional 3d model 1 girl, masterpiece, best quality, high resolution, 8K, HDR, bloom, sun light, raytracing, detailed shadows, intricate tree shadow, bokeh, depth of field, film photography, film grain, glare, (wind:0.8), detailed hair, beautiful face, beautiful girl, ultra detailed eyes, cinematic lighting, (hyperdetailed:1.15), outdoors . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting, (worst quality:2.00), (low quality:2.00), (normal quality:2.00), low-res",1.0,1024,1024,"Steps: 20, Sampler: DPM++ 2M Karras, CFG scale: 7, Seed: 2439154668, Size: 1024x1024, Model hash: 31e35c80fc, Model: sd_xl_base_1.0, Style Selector Enabled: True, Style Selector Randomize: False, Style Selector Style: 3D Model, Version: v1.6.0"
00000-2993613620.png,"cinematic photo top of  camera view of a very a very pyramid in Egypt  tall tower with a light on top of it's side in a cityscape with a sky background, Filip Hodas, futuristic, a hologram, retrofuturism, futuristic, a hologram, retrofuturism, surrounded by other buildings and a large body of mirror square water, Beeple, isometric, a detailed matte painting, 3d style , volumetric light . 35mm photograph, film, bokeh, professional, 4k, highly detailed","drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly, ugly,text,watermarks,",1.0,1024,1024,"Steps: 42, Sampler: DPM++ 2M Karras, CFG scale: 6, Seed: 2993613620, Size: 512x512, Model hash: 15012c538f, Model: realisticVisionV51_v51VAE, Denoising strength: 0.7, Style Selector Enabled: True, Style Selector Randomize: False, Style Selector Style: Photographic, Hires upscale: 2, Hires upscaler: R-ESRGAN 4x+, Version: v1.6.0"
00001-3227965200.png,"A realistic image of a doctor from the future performing a surgery on a robot with a robot assistant and screens and tools from the future, the image should have a glowing neon lighting",No negative prompt,1.0,512,512,"Steps: 20, Sampler: DPM++ 2M Karras, CFG scale: 7, Seed: 3227965200, Size: 512x512, Model hash: 15012c538f, Model: realisticVisionV51_v51VAE, Style Selector Enabled: True, Style Selector Randomize: False, Style Selector Style: base, Version: v1.6.0"
00001-3681182587.png,"cinematic film still image of Claudio Monteverdi, 8k hyper-realistic, pixel-perfect, intricate details,",No negative prompt,1.0,1024,1024,"Steps: 25, Sampler: DPM++ 2M Karras, CFG scale: 7, Seed: 3681182587, Size: 512x512, Model hash: 15012c538f, Model: realisticVisionV51_v51VAE, Denoising strength: 0.7, Style Selector Enabled: True, Style Selector Randomize: False, Style Selector Style: Cinematic, ADetailer model: face_yolov8n.pt, ADetailer confidence: 0.3, ADetailer dilate/erode: 4, ADetailer mask blur: 4, ADetailer denoising strength: 0.4, ADetailer inpaint only masked: True, ADetailer inpaint padding: 32, ADetailer version: 23.9.3, Hires upscale: 2, Hires upscaler: R-ESRGAN 4x+, Version: v1.6.0"
00001-833658478.png,"concept art 1 girl, masterpiece, best quality, high resolution, 8K, HDR, bloom, sun light, raytracing, detailed shadows, intricate tree shadow, bokeh, depth of field, film photography, film grain, glare, (wind:0.8), detailed hair, beautiful face, beautiful girl, ultra detailed eyes, cinematic lighting, (hyperdetailed:1.15), outdoors . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly, (worst quality:2.00), (low quality:2.00), (normal quality:2.00), low-res,text,watermark",1.0,1024,1024,"Steps: 20, Sampler: DPM++ 2M Karras, CFG scale: 7, Seed: 833658478, Size: 1024x1024, Model hash: 31e35c80fc, Model: sd_xl_base_1.0, Style Selector Enabled: True, Style Selector Randomize: True, Style Selector Style: Texture, ADetailer model: face_yolov8n.pt, ADetailer confidence: 0.3, ADetailer dilate/erode: 4, ADetailer mask blur: 4, ADetailer denoising strength: 0.4, ADetailer inpaint only masked: True, ADetailer inpaint padding: 32, ADetailer version: 23.9.3, Version: v1.6.0"
00002-1278577057.png,"A realistic image of a doctor from the future performing a surgery on a robot with a robot assistant and screens and tools from the future, the image should have a glowing neon lighting",No negative prompt,1.0,768,768,"Steps: 25, Sampler: DPM++ 2M Karras, CFG scale: 7, Seed: 1278577057, Size: 768x768, Model hash: 15012c538f, Model: realisticVisionV51_v51VAE, Style Selector Enabled: True, Style Selector Randomize: False, Style Selector Style: base, Version: v1.6.0"
00002-3681182588.png,"cinematic film still image of Claudio Monteverdi, 8k hyper-realistic, pixel-perfect, intricate details,",No negative prompt,1.0,1024,1024,"Steps: 25, Sampler: DPM++ 2M Karras, CFG scale: 7, Seed: 3681182588, Size: 512x512, Model hash: 15012c538f, Model: realisticVisionV51_v51VAE, Denoising strength: 0.7, Style Selector Enabled: True, Style Selector Randomize: False, Style Selector Style: Cinematic, ADetailer model: face_yolov8n.pt, ADetailer confidence: 0.3, ADetailer dilate/erode: 4, ADetailer mask blur: 4, ADetailer denoising strength: 0.4, ADetailer inpaint only masked: True, ADetailer inpaint padding: 32, ADetailer version: 23.9.3, Hires upscale: 2, Hires upscaler: R-ESRGAN 4x+, Version: v1.6.0"
00002-833658479.png,"Pop Art style 1 girl, masterpiece, best quality, high resolution, 8K, HDR, bloom, sun light, raytracing, detailed shadows, intricate tree shadow, bokeh, depth of field, film photography, film grain, glare, (wind:0.8), detailed hair, beautiful face, beautiful girl, ultra detailed eyes, cinematic lighting, (hyperdetailed:1.15), outdoors . Bright colors, bold outlines, popular culture themes, ironic or kitsch","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, minimalist, (worst quality:2.00), (low quality:2.00), (normal quality:2.00), low-res,text,watermark",1.0,1024,1024,"Steps: 20, Sampler: DPM++ 2M Karras, CFG scale: 7, Seed: 833658479, Size: 1024x1024, Model hash: 31e35c80fc, Model: sd_xl_base_1.0, Style Selector Enabled: True, Style Selector Randomize: True, Style Selector Style: Zentangle, ADetailer model: face_yolov8n.pt, ADetailer confidence: 0.3, ADetailer dilate/erode: 4, ADetailer mask blur: 4, ADetailer denoising strength: 0.4, ADetailer inpaint only masked: True, ADetailer inpaint padding: 32, ADetailer version: 23.9.3, Version: v1.6.0"
00003-1278577058.png,"A realistic image of a doctor from the future performing a surgery on a robot with a robot assistant and screens and tools from the future, the image should have a glowing neon lighting",No negative prompt,1.0,768,768,"Steps: 25, Sampler: DPM++ 2M Karras, CFG scale: 7, Seed: 1278577058, Size: 768x768, Model hash: 15012c538f, Model: realisticVisionV51_v51VAE, Style Selector Enabled: True, Style Selector Randomize: False, Style Selector Style: base, Version: v1.6.0"
00003-1573076881.png,"cinematic film still image of Claudio Monteverdi, 8k hyper-realistic, pixel-perfect, intricate details,",No negative prompt,0.6666666666666666,1024,1536,"Steps: 25, Sampler: DPM++ 2M Karras, CFG scale: 7, Seed: 1573076881, Size: 512x768, Model hash: 15012c538f, Model: realisticVisionV51_v51VAE, Denoising strength: 0.7, Style Selector Enabled: True, Style Selector Randomize: False, Style Selector Style: Cinematic, ADetailer model: face_yolov8n.pt, ADetailer confidence: 0.3, ADetailer dilate/erode: 4, ADetailer mask blur: 4, ADetailer denoising strength: 0.4, ADetailer inpaint only masked: True, ADetailer inpaint padding: 32, ADetailer version: 23.9.3, Hires upscale: 2, Hires upscaler: R-ESRGAN 4x+, Version: v1.6.0"
